Recombination Rate,Total Runs,Successes,Success Rate (%),Avg Generations,Avg Evaluations,Avg Final Fitness,Best Fitness
0.5,30,30,100.0,144.5 [+-] 202.2,389 [+-] 404,0.00,0
1.0,30,30,100.0,85.2 [+-] 82.5,270 [+-] 165,0.00,0
